Gear Box,Length,Width,modelYear,Height,Kerb Weight,No of Cylinder,km,transmission,Registration Year,Wheel Base,Engine Displacement,model,Mileage,State,Color,Rear Brake Type,bt,oem,Tyre Type,price
5 Speed,3715.0,1635.0,2015,1565.0,835.0,3.0,120000,Manual,2015.0,2425.0,998.0,Maruti Celerio,23.1,bangalore,White,Drum,Hatchback,Maruti,Tubeless Radial,400000.0
5 Speed,3998.0,1765.0,2018,1647.0,1211.4827735332276,3.0,32706,Manual,2018.0,2519.0,1497.0,Ford Ecosport,17.0,bangalore,White,Drum,SUV,Ford,Tubeless Radial,811000.0
5 Speed,3746.0,1647.0,2018,1535.0,1012.0,3.0,11949,Manual,2018.0,2400.0,1199.0,Tata Tiago,23.84,bangalore,Red,Drum,Hatchback,Tata,Tubeless,585000.0
5 Speed,3995.0,1660.0,2014,1520.0,1180.0,4.0,17794,Manual,2014.0,2425.0,1197.0,Hyundai Xcent,19.1,bangalore,Others,Drum,Sedan,Hyundai,Tubeless Radial,462000.0
5 Speed,4300.0,1785.0,2015,1595.0,1211.4827735332276,4.0,60000,Manual,2015.0,2600.0,1248.0,Maruti SX4 S Cross,23.65,bangalore,Gray,Disc,SUV,Maruti,Tubeless Radial,790000.0
6 Speed,4395.0,1818.0,2020,1640.0,1211.4827735332276,4.0,20000,Manual,2020.0,2636.0,1956.0,Jeep Compass,17.1,bangalore,Others,Disc,SUV,Jeep,Tubeless Radial,1900000.0
5 Speed,3785.0,1635.0,2017,1490.0,1070.0,3.0,37772,Manual,2017.0,2450.0,1198.0,Datsun GO,20.63,bangalore,Grey,Drum,Hatchback,Datsun,Tubeless,345000.0
7 Speed,3995.0,1770.0,2021,1605.0,1440.0,3.0,30000,Automatic,2021.0,2500.0,998.0,Hyundai Venue,18.15,bangalore,Others,Drum,SUV,Hyundai,Radial,1200000.0
4 Speed,4490.0,1730.0,2018,1485.0,1105.0,4.0,37000,Automatic,2018.0,2650.0,1462.0,Maruti Ciaz,20.28,bangalore,Maroon,Drum,Sedan,Maruti,Tubeless Radial,960000.0
5 Speed,3746.0,1647.0,2017,1535.0,1012.0,3.0,11949,Manual,2018.0,2400.0,1199.0,Tata Tiago,23.84,bangalore,Red,Drum,Hatchback,Tata,Tubeless,585000.0
5 Speed,3995.0,1745.0,2018,1510.0,870.0,4.0,50000,Manual,2018.0,2520.0,1197.0,Maruti Baleno,21.4,bangalore,Red,Drum,Hatchback,Maruti,Tubeless Radial,690000.0
4 Speed,3765.0,1660.0,2019,1520.0,1200.0,4.0,24887,Automatic,2019.0,2425.0,1197.0,Hyundai Grand i10,18.9,bangalore,Orange,Drum,Hatchback,Hyundai,Tubeless,682000.0
